DoctorID,Name,Specialty,Department
1,Dr. Doctor_1,Neurology,Cardiology
2,Dr. Doctor_2,Neurology,Cardiology
3,Dr. Doctor_3,Orthopedics,Cardiology
4,Dr. Doctor_4,Pediatrics,General
5,Dr. Doctor_5,Pediatrics,Pediatrics
6,Dr. Doctor_6,Neurology,Cardiology
7,Dr. Doctor_7,Orthopedics,Pediatrics
8,Dr. Doctor_8,Cardiology,Pediatrics
9,Dr. Doctor_9,Pediatrics,Orthopedics
10,Dr. Doctor_10,General Medicine,Orthopedics
11,Dr. Doctor_11,Neurology,Orthopedics
12,Dr. Doctor_12,Orthopedics,Neurology
13,Dr. Doctor_13,Pediatrics,Neurology
14,Dr. Doctor_14,Pediatrics,Orthopedics
15,Dr. Doctor_15,Neurology,Neurology
16,Dr. Doctor_16,Orthopedics,Neurology
17,Dr. Doctor_17,Neurology,Neurology
18,Dr. Doctor_18,General Medicine,Orthopedics
19,Dr. Doctor_19,Pediatrics,Cardiology
20,Dr. Doctor_20,Orthopedics,Neurology
21,Dr. Doctor_21,Orthopedics,Neurology
22,Dr. Doctor_22,Orthopedics,Neurology
23,Dr. Doctor_23,Orthopedics,Pediatrics
24,Dr. Doctor_24,Cardiology,Orthopedics
25,Dr. Doctor_25,Cardiology,Orthopedics
26,Dr. Doctor_26,Pediatrics,Pediatrics
27,Dr. Doctor_27,General Medicine,Pediatrics
28,Dr. Doctor_28,Neurology,Neurology
29,Dr. Doctor_29,Orthopedics,Neurology
30,Dr. Doctor_30,General Medicine,Neurology
31,Dr. Doctor_31,General Medicine,Cardiology
32,Dr. Doctor_32,Neurology,Neurology
33,Dr. Doctor_33,Neurology,Pediatrics
34,Dr. Doctor_34,Neurology,Orthopedics
35,Dr. Doctor_35,Orthopedics,Orthopedics
36,Dr. Doctor_36,Neurology,General
37,Dr. Doctor_37,Cardiology,General
38,Dr. Doctor_38,Orthopedics,Neurology
39,Dr. Doctor_39,Pediatrics,Neurology
40,Dr. Doctor_40,Cardiology,Orthopedics
