EmpID,Name,DeptID,Salary,ManagerID
101,Alice,1,60000,201
102,Bob,2,55000,202
103,Charlie,3,50000,203
104,Diana,1,70000,201
105,Edward,2,48000,202
106,Fiona,3,65000,203
107,George,1,56000,201
108,Hannah,2,57000,202
109,Irene,3,62000,203
110,Jack,1,59000,201
111,Karen,2,58000,202
112,Leo,3,61000,203
113,Mona,1,54000,201
114,Nathan,2,60000,202
115,Olivia,3,53000,203
116,Paul,1,64000,201
117,Quincy,2,63000,202
118,Rachel,3,67000,203
119,Steve,1,68000,201
120,Tina,2,72000,202
121,Uma,3,73000,203
122,Victor,1,75000,201
123,Wendy,2,76000,202
124,Xander,3,77000,203
125,Yvonne,1,79000,201
126,Zack,2,80000,202
127,Aria,3,82000,203
128,Brian,1,83000,201
129,Cathy,2,85000,202
130,Dennis,3,86000,203
